"","id","order","outlier.pop"
"112","2L 2004700",63549805,"X0.77"
"113","2L 2004902",63550007,"X0.77"
"114","2L 2022590",63567695,"X0.77"
"115","2L 2026819",63571924,"X0.77"
"116","2L 2047219",63592324,"X0.77"
"117","2L 2050169",63595274,"X0.77"
"118","2L 2051407",63596512,"X0.77"
"119","2L 2067030",63612135,"X0.77"
"120","2L 2081233",63626338,"X0.77"
"121","2L 2083768",63628873,"X0.77"
"122","2L 2085017",63630122,"X0.77"
"123","2L 2106366",63651471,"X0.77"
"124","2L 2112116",63657221,"X0.77"
"125","2L 2114488",63659593,"X0.77"
"126","2L 2120136",63665241,"X0.77"
"127","2L 2120211",63665316,"X0.77"
"128","2L 2122053",63667158,"X0.77"
"129","2L 21253358",82798463,"X0.77"
"130","2L 2131395",63676500,"X0.77"
"131","2L 2133421",63678526,"X0.77"
"132","2L 2142623",63687728,"X0.77"
"133","2L 2160658",63705763,"X0.77"
"134","2L 2161724",63706829,"X0.77"
"135","2L 2167322",63712427,"X0.77"
"136","2L 220039",61765144,"X0.77"
"137","2L 2254261",63799366,"X0.77"
"138","2L 2271144",63816249,"X0.77"
"139","2L 2271581",63816686,"X0.77"
"140","2L 2271888",63816993,"X0.77"
"141","2L 2272305",63817410,"X0.77"
"142","2L 2273300",63818405,"X0.77"
"143","2L 2274087",63819192,"X0.77"
"144","2L 2277227",63822332,"X0.77"
"145","2L 2277275",63822380,"X0.77"
"146","2L 2279702",63824807,"X0.77"
"147","2L 2279836",63824941,"X0.77"
"148","2L 2280985",63826090,"X0.77"
"149","2L 228299",61773404,"X0.77"
"150","2L 2284680",63829785,"X0.77"
"151","2L 2287276",63832381,"X0.77"
"152","2L 2288585",63833690,"X0.77"
"153","2L 2288955",63834060,"X0.77"
"154","2L 2290010",63835115,"X0.77"
"155","2L 2299419",63844524,"X0.77"
"156","2L 2300012",63845117,"X0.77"
"157","2L 2300046",63845151,"X0.77"
"158","2L 2301286",63846391,"X0.77"
"159","2L 2352843",63897948,"X0.77"
"160","2L 2354508",63899613,"X0.77"
"161","2L 2357537",63902642,"X0.77"
"162","2L 2357859",63902964,"X0.77"
"163","2L 2357873",63902978,"X0.77"
"164","2L 2359542",63904647,"X0.77"
"165","2L 2362471",63907576,"X0.77"
"166","2L 2366310",63911415,"X0.77"
"167","2L 2366395",63911500,"X0.77"
"168","2L 2366481",63911586,"X0.77"
"169","2L 2366940",63912045,"X0.77"
"170","2L 2368003",63913108,"X0.77"
"171","2L 2375032",63920137,"X0.77"
"172","2L 2376185",63921290,"X0.77"
"173","2L 2380982",63926087,"X0.77"
"174","2L 2381775",63926880,"X0.77"
"175","2L 2381891",63926996,"X0.77"
"176","2L 2382113",63927218,"X0.77"
"177","2L 2382236",63927341,"X0.77"
"178","2L 2382454",63927559,"X0.77"
"179","2L 2382950",63928055,"X0.77"
"180","2L 2384087",63929192,"X0.77"
"181","2L 2388648",63933753,"X0.77"
"182","2L 2390395",63935500,"X0.77"
"183","2L 2391802",63936907,"X0.77"
"184","2L 2393928",63939033,"X0.77"
"185","2L 2393966",63939071,"X0.77"
"186","2L 2394364",63939469,"X0.77"
"187","2L 2400504",63945609,"X0.77"
"188","2L 2406690",63951795,"X0.77"
"189","2L 2407179",63952284,"X0.77"
"190","2L 2408453",63953558,"X0.77"
"191","2L 2417101",63962206,"X0.77"
"192","2L 2419738",63964843,"X0.77"
"193","2L 2420396",63965501,"X0.77"
"194","2L 2423671",63968776,"X0.77"
"195","2L 2426097",63971202,"X0.77"
"196","2L 2431783",63976888,"X0.77"
"197","2L 2432552",63977657,"X0.77"
"198","2L 2432603",63977708,"X0.77"
"199","2L 2433550",63978655,"X0.77"
"200","2L 2433590",63978695,"X0.77"
"201","2L 2433629",63978734,"X0.77"
"202","2L 2435770",63980875,"X0.77"
"203","2L 2436544",63981649,"X0.77"
"204","2L 2439836",63984941,"X0.77"
"205","2L 2440645",63985750,"X0.77"
"206","2L 2441351",63986456,"X0.77"
"207","2L 2470684",64015789,"X0.77"
"208","2L 2471916",64017021,"X0.77"
"209","2L 2485917",64031022,"X0.77"
"210","2L 2486279",64031384,"X0.77"
"211","2L 2486338",64031443,"X0.77"
"212","2L 2488906",64034011,"X0.77"
"213","2L 2491833",64036938,"X0.77"
"214","2L 2528595",64073700,"X0.77"
"215","2L 2537346",64082451,"X0.77"
"216","2L 2544948",64090053,"X0.77"
"217","2L 2548600",64093705,"X0.77"
"218","2L 2552666",64097771,"X0.77"
"219","2L 255986",61801091,"X0.77"
"220","2L 2566640",64111745,"X0.77"
"221","2L 2566690",64111795,"X0.77"
"222","2L 2573467",64118572,"X0.77"
"223","2L 2576588",64121693,"X0.77"
"224","2L 2576833",64121938,"X0.77"
"225","2L 2576851",64121956,"X0.77"
"226","2L 2576971",64122076,"X0.77"
"227","2L 2578573",64123678,"X0.77"
"228","2L 2590189",64135294,"X0.77"
"229","2L 2595967",64141072,"X0.77"
"230","2L 2599371",64144476,"X0.77"
"231","2L 2637629",64182734,"X0.77"
"232","2L 2641334",64186439,"X0.77"
"233","2L 2650999",64196104,"X0.77"
"234","2L 2653685",64198790,"X0.77"
"235","2L 2655487",64200592,"X0.77"
"236","2L 2655876",64200981,"X0.77"
"237","2L 2691510",64236615,"X0.77"
"238","2L 2707770",64252875,"X0.77"
"239","2L 2728168",64273273,"X0.77"
"240","2L 2751359",64296464,"X0.77"
"241","2L 2752947",64298052,"X0.77"
"242","2L 2758890",64303995,"X0.77"
"243","2L 2759273",64304378,"X0.77"
"244","2L 2767287",64312392,"X0.77"
"245","2L 2794337",64339442,"X0.77"
"246","2L 2798756",64343861,"X0.77"
"247","2L 2804471",64349576,"X0.77"
"248","2L 2804672",64349777,"X0.77"
"249","2L 2809005",64354110,"X0.77"
"250","2L 2823637",64368742,"X0.77"
"251","2L 2830403",64375508,"X0.77"
"252","2L 2830405",64375510,"X0.77"
"253","2L 2830410",64375515,"X0.77"
"254","2L 2830433",64375538,"X0.77"
"255","2L 2832224",64377329,"X0.77"
"256","2L 2839693",64384798,"X0.77"
"257","2L 2846092",64391197,"X0.77"
"258","2L 2847516",64392621,"X0.77"
"259","2L 2863544",64408649,"X0.77"
"260","2L 2865822",64410927,"X0.77"
"261","2L 2867000",64412105,"X0.77"
"262","2L 2868581",64413686,"X0.77"
"263","2L 2869544",64414649,"X0.77"
"264","2L 2882773",64427878,"X0.77"
"265","2L 2883576",64428681,"X0.77"
"266","2L 2884093",64429198,"X0.77"
"267","2L 2884843",64429948,"X0.77"
"268","2L 2886791",64431896,"X0.77"
"269","2L 2904817",64449922,"X0.77"
"270","2L 2905219",64450324,"X0.77"
"271","2L 2907827",64452932,"X0.384"
"272","2L 2910016",64455121,"X0.77"
"273","2L 2912170",64457275,"X0.77"
"274","2L 2913747",64458852,"X0.77"
"275","2L 2914748",64459853,"X0.77"
"276","2L 2915808",64460913,"X0.77"
"277","2L 2918281",64463386,"X0.77"
"278","2L 2926239",64471344,"X0.77"
"279","2L 2932461",64477566,"X0.77"
"280","2L 2935421",64480526,"X0.77"
"281","2L 2937064",64482169,"X0.77"
"282","2L 2938635",64483740,"X0.77"
"283","2L 2941929",64487034,"X0.77"
"284","2L 2951291",64496396,"X0.77"
"285","2L 2963848",64508953,"X0.77"
"286","2L 2969207",64514312,"X0.77"
"287","2L 2970468",64515573,"X0.77"
"288","2L 2973761",64518866,"X0.77"
"289","2L 2974970",64520075,"X0.77"
"290","2L 2974999",64520104,"X0.77"
"291","2L 2977275",64522380,"X0.77"
"292","2L 2982126",64527231,"X0.77"
"293","2L 2982354",64527459,"X0.77"
"294","2L 2982364",64527469,"X0.77"
"295","2L 2982377",64527482,"X0.77"
"296","2L 2982387",64527492,"X0.77"
"297","2L 2983868",64528973,"X0.77"
"298","2L 2984171",64529276,"X0.77"
"299","2L 2984683",64529788,"X0.77"
"300","2L 2997575",64542680,"X0.77"
"301","2L 3002229",64547334,"X0.77"
"302","2L 3005293",64550398,"X0.77"
"303","2L 3005490",64550595,"X0.77"
"304","2L 3005565",64550670,"X0.77"
"305","2L 3006114",64551219,"X0.77"
"306","2L 3006812",64551917,"X0.77"
"307","2L 3007154",64552259,"X0.77"
"308","2L 3008593",64553698,"X0.77"
"309","2L 3013791",64558896,"X0.77"
"310","2L 3013793",64558898,"X0.77"
"311","2L 3013799",64558904,"X0.77"
"312","2L 3014201",64559306,"X0.77"
"313","2L 3014743",64559848,"X0.77"
"314","2L 3014936",64560041,"X0.77"
"315","2L 3015327",64560432,"X0.77"
"316","2L 3015555",64560660,"X0.77"
"317","2L 3015559",64560664,"X0.77"
"318","2L 3015857",64560962,"X0.77"
"319","2L 3016432",64561537,"X0.77"
"320","2L 3020683",64565788,"X0.77"
"321","2L 3020759",64565864,"X0.77"
"322","2L 3021182",64566287,"X0.77"
"323","2L 3023065",64568170,"X0.77"
"324","2L 3024064",64569169,"X0.77"
"325","2L 3024775",64569880,"X0.77"
"326","2L 3025061",64570166,"X0.77"
"327","2L 3025319",64570424,"X0.77"
"328","2L 3025447",64570552,"X0.77"
"329","2L 3027440",64572545,"X0.77"
"330","2L 3029951",64575056,"X0.77"
"331","2L 3033912",64579017,"X0.77"
"332","2L 3034965",64580070,"X0.77"
"333","2L 3036227",64581332,"X0.77"
"334","2L 3036498",64581603,"X0.77"
"335","2L 3037572",64582677,"X0.77"
"336","2L 3041595",64586700,"X0.384"
"337","2L 3041624",64586729,"X0.77"
"338","2L 3043316",64588421,"X0.77"
"339","2L 3043322",64588427,"X0.77"
"340","2L 3043430",64588535,"X0.77"
"341","2L 3043752",64588857,"X0.77"
"342","2L 3045359",64590464,"X0.77"
"343","2L 3045534",64590639,"X0.77"
"344","2L 3046647",64591752,"X0.77"
"345","2L 3047764",64592869,"X0.77"
"346","2L 3049264",64594369,"X0.77"
"347","2L 3051221",64596326,"X0.77"
"348","2L 3051802",64596907,"X0.77"
"349","2L 3052274",64597379,"X0.77"
"350","2L 3052348",64597453,"X0.77"
"351","2L 3052418",64597523,"X0.77"
"352","2L 3053960",64599065,"X0.77"
"353","2L 3054310",64599415,"X0.77"
"354","2L 3054322",64599427,"X0.77"
"355","2L 3054941",64600046,"X0.77"
"356","2L 3063307",64608412,"X0.77"
"357","2L 3065115",64610220,"X0.77"
"358","2L 3065845",64610950,"X0.77"
"359","2L 3067071",64612176,"X0.77"
"360","2L 3068200",64613305,"X0.77"
"361","2L 3068259",64613364,"X0.77"
"362","2L 3068421",64613526,"X0.77"
"363","2L 3069086",64614191,"X0.77"
"364","2L 3069274",64614379,"X0.77"
"365","2L 3071599",64616704,"X0.77"
"366","2L 3072663",64617768,"X0.77"
"367","2L 3072954",64618059,"X0.77"
"368","2L 3076281",64621386,"X0.77"
"369","2L 3084561",64629666,"X0.77"
"370","2L 3085451",64630556,"X0.77"
"371","2L 3085577",64630682,"X0.77"
"372","2L 3085965",64631070,"X0.77"
"373","2L 3089346",64634451,"X0.77"
"374","2L 3089412",64634517,"X0.77"
"375","2L 3089706",64634811,"X0.77"
"376","2L 3089850",64634955,"X0.77"
"377","2L 3091538",64636643,"X0.77"
"378","2L 3091664",64636769,"X0.77"
"379","2L 3092030",64637135,"X0.77"
"380","2L 3092033",64637138,"X0.77"
"381","2L 3092487",64637592,"X0.77"
"382","2L 3092654",64637759,"X0.77"
"383","2L 3092893",64637998,"X0.77"
"384","2L 3093054",64638159,"X0.77"
"385","2L 3093284",64638389,"X0.77"
"386","2L 3093517",64638622,"X0.77"
"387","2L 3093548",64638653,"X0.77"
"388","2L 3095624",64640729,"X0.77"
"389","2L 3099431",64644536,"X0.77"
"390","2L 3099496",64644601,"X0.77"
"391","2L 3099576",64644681,"X0.77"
"392","2L 3099973",64645078,"X0.77"
"393","2L 3100345",64645450,"X0.77"
"394","2L 3100618",64645723,"X0.77"
"395","2L 3100914",64646019,"X0.77"
"396","2L 3101310",64646415,"X0.77"
"397","2L 3107628",64652733,"X0.77"
"398","2L 3108824",64653929,"X0.77"
"399","2L 3109707",64654812,"X0.77"
"400","2L 3110085",64655190,"X0.77"
"401","2L 3110086",64655191,"X0.77"
"402","2L 3110855",64655960,"X0.77"
"403","2L 3111003",64656108,"X0.77"
"404","2L 3111182",64656287,"X0.77"
"405","2L 3111669",64656774,"X0.77"
"406","2L 3112233",64657338,"X0.77"
"407","2L 3112434",64657539,"X0.77"
"408","2L 3112490",64657595,"X0.77"
"409","2L 3112691",64657796,"X0.77"
"410","2L 3114264",64659369,"X0.77"
"411","2L 3115568",64660673,"X0.77"
"412","2L 3117283",64662388,"X0.77"
"413","2L 3118006",64663111,"X0.77"
"414","2L 3118256",64663361,"X0.77"
"415","2L 3118436",64663541,"X0.77"
"416","2L 3118468",64663573,"X0.77"
"417","2L 3118473",64663578,"X0.77"
"418","2L 3118925",64664030,"X0.77"
"419","2L 3118965",64664070,"X0.77"
"420","2L 3119162",64664267,"X0.77"
"421","2L 3120629",64665734,"X0.77"
"422","2L 3120669",64665774,"X0.77"
"423","2L 3121380",64666485,"X0.77"
"424","2L 3121392",64666497,"X0.77"
"425","2L 3121464",64666569,"X0.77"
"426","2L 3122111",64667216,"X0.77"
"427","2L 3122945",64668050,"X0.77"
"428","2L 3123523",64668628,"X0.77"
"429","2L 3124710",64669815,"X0.77"
"430","2L 3124711",64669816,"X0.77"
"431","2L 3124774",64669879,"X0.77"
"432","2L 3125298",64670403,"X0.77"
"433","2L 3125855",64670960,"X0.77"
"434","2L 3126880",64671985,"X0.77"
"435","2L 3126928",64672033,"X0.77"
"436","2L 3128001",64673106,"X0.77"
"437","2L 3128068",64673173,"X0.77"
"438","2L 3150342",64695447,"X0.77"
"439","2L 3150885",64695990,"X0.77"
"440","2L 3151186",64696291,"X0.77"
"441","2L 3151506",64696611,"X0.77"
"442","2L 3152424",64697529,"X0.77"
"443","2L 3152467",64697572,"X0.77"
"444","2L 3153674",64698779,"X0.77"
"445","2L 3155017",64700122,"X0.77"
"446","2L 3155358",64700463,"X0.77"
"447","2L 3155364",64700469,"X0.77"
"448","2L 3157556",64702661,"X0.77"
"449","2L 3163015",64708120,"X0.77"
"450","2L 3163668",64708773,"X0.77"
"451","2L 3163879",64708984,"X0.77"
"452","2L 3166562",64711667,"X0.77"
"453","2L 3168723",64713828,"X0.77"
"454","2L 3168825",64713930,"X0.77"
"455","2L 3169606",64714711,"X0.77"
"456","2L 3170097",64715202,"X0.77"
"457","2L 3170099",64715204,"X0.77"
"458","2L 3170139",64715244,"X0.77"
"459","2L 3173802",64718907,"X0.77"
"460","2L 3174583",64719688,"X0.77"
"461","2L 3175213",64720318,"X0.77"
"462","2L 3175943",64721048,"X0.77"
"463","2L 3176419",64721524,"X0.77"
"464","2L 3177768",64722873,"X0.77"
"465","2L 3187886",64732991,"X0.77"
"466","2L 3190039",64735144,"X0.77"
"467","2L 3192576",64737681,"X0.77"
"468","2L 3192690",64737795,"X0.77"
"469","2L 3193661",64738766,"X0.77"
"470","2L 3193755",64738860,"X0.77"
"471","2L 3193811",64738916,"X0.77"
"472","2L 3194472",64739577,"X0.77"
"473","2L 3194773",64739878,"X0.77"
"474","2L 3195460",64740565,"X0.77"
"475","2L 3195493",64740598,"X0.77"
"476","2L 3203290",64748395,"X0.77"
"477","2L 3205828",64750933,"X0.77"
"478","2L 3205854",64750959,"X0.77"
"479","2L 3208540",64753645,"X0.77"
"480","2L 3209949",64755054,"X0.77"
"481","2L 3213051",64758156,"X0.77"
"482","2L 3216019",64761124,"X0.77"
"483","2L 3217028",64762133,"X0.77"
"484","2L 3217135",64762240,"X0.77"
"485","2L 3217635",64762740,"X0.77"
"486","2L 3227971",64773076,"X0.77"
"487","2L 3228502",64773607,"X0.77"
"488","2L 3228884",64773989,"X0.77"
"489","2L 3229079",64774184,"X0.77"
"490","2L 3229131",64774236,"X0.77"
"491","2L 3229639",64774744,"X0.77"
"492","2L 3230579",64775684,"X0.77"
"493","2L 3232672",64777777,"X0.77"
"494","2L 3233132",64778237,"X0.77"
"495","2L 3233951",64779056,"X0.77"
"496","2L 3234088",64779193,"X0.77"
"497","2L 3238763",64783868,"X0.77"
"498","2L 3239787",64784892,"X0.77"
"499","2L 3240401",64785506,"X0.77"
"500","2L 3241164",64786269,"X0.77"
"501","2L 3241418",64786523,"X0.77"
"502","2L 3241524",64786629,"X0.77"
"503","2L 3243032",64788137,"X0.77"
"504","2L 3243980",64789085,"X0.77"
"505","2L 3244357",64789462,"X0.77"
"506","2L 3244477",64789582,"X0.77"
"507","2L 3244508",64789613,"X0.77"
"508","2L 3244891",64789996,"X0.77"
"509","2L 3245182",64790287,"X0.77"
"510","2L 3245817",64790922,"X0.77"
"511","2L 3246537",64791642,"X0.77"
"512","2L 3247812",64792917,"X0.77"
"513","2L 3248014",64793119,"X0.77"
"514","2L 3249800",64794905,"X0.77"
"515","2L 3250543",64795648,"X0.77"
"516","2L 3251184",64796289,"X0.77"
"517","2L 3251185",64796290,"X0.77"
"518","2L 3251702",64796807,"X0.77"
"519","2L 3252818",64797923,"X0.77"
"520","2L 3253556",64798661,"X0.77"
"521","2L 3254059",64799164,"X0.77"
"522","2L 3254535",64799640,"X0.77"
"523","2L 3255951",64801056,"X0.77"
"524","2L 3258816",64803921,"X0.77"
"525","2L 3259279",64804384,"X0.77"
"526","2L 3260963",64806068,"X0.77"
"527","2L 3261584",64806689,"X0.77"
"528","2L 3264973",64810078,"X0.77"
"529","2L 3265890",64810995,"X0.77"
"530","2L 3265926",64811031,"X0.77"
"531","2L 3266926",64812031,"X0.77"
"532","2L 3267681",64812786,"X0.77"
"533","2L 3273621",64818726,"X0.77"
"534","2L 3273635",64818740,"X0.77"
"535","2L 3273698",64818803,"X0.77"
"536","2L 3274091",64819196,"X0.77"
"537","2L 3275860",64820965,"X0.77"
"538","2L 3276247",64821352,"X0.77"
"539","2L 3276287",64821392,"X0.77"
"540","2L 3276288",64821393,"X0.77"
"541","2L 3276362",64821467,"X0.77"
"542","2L 3276648",64821753,"X0.77"
"543","2L 3280020",64825125,"X0.77"
"544","2L 3282974",64828079,"X0.77"
"545","2L 3283276",64828381,"X0.77"
"546","2L 3284377",64829482,"X0.77"
"547","2L 3285641",64830746,"X0.77"
"548","2L 3285719",64830824,"X0.77"
"549","2L 3286985",64832090,"X0.77"
"550","2L 3289273",64834378,"X0.77"
"551","2L 3289475",64834580,"X0.77"
"552","2L 3295822",64840927,"X0.77"
"553","2L 3296143",64841248,"X0.77"
"554","2L 3296244",64841349,"X0.77"
"555","2L 3296307",64841412,"X0.77"
"556","2L 3296873",64841978,"X0.77"
"557","2L 3299093",64844198,"X0.77"
"558","2L 3299209",64844314,"X0.77"
"559","2L 3301185",64846290,"X0.384"
"560","2L 3302137",64847242,"X0.77"
"561","2L 3303606",64848711,"X0.77"
"562","2L 3303624",64848729,"X0.77"
"563","2L 3303819",64848924,"X0.77"
"564","2L 3304799",64849904,"X0.77"
"565","2L 3306404",64851509,"X0.77"
"566","2L 3308000",64853105,"X0.77"
"567","2L 3308172",64853277,"X0.77"
"568","2L 3308351",64853456,"X0.77"
"569","2L 3308546",64853651,"X0.77"
"570","2L 3309316",64854421,"X0.77"
"571","2L 3309749",64854854,"X0.77"
"572","2L 3310085",64855190,"X0.77"
"573","2L 3310102",64855207,"X0.77"
"574","2L 3310612",64855717,"X0.77"
"575","2L 3311691",64856796,"X0.77"
"576","2L 3316506",64861611,"X0.77"
"577","2L 3316583",64861688,"X0.77"
"578","2L 3316587",64861692,"X0.77"
"579","2L 3316633",64861738,"X0.77"
"580","2L 3318971",64864076,"X0.77"
"581","2L 3320055",64865160,"X0.77"
"582","2L 3320137",64865242,"X0.77"
"583","2L 3320392",64865497,"X0.77"
"584","2L 3344304",64889409,"X0.77"
"585","2L 3344403",64889508,"X0.77"
"586","2L 3344790",64889895,"X0.77"
"587","2L 3344837",64889942,"X0.77"
"588","2L 3345331",64890436,"X0.77"
"589","2L 3345383",64890488,"X0.77"
"590","2L 3345666",64890771,"X0.77"
"591","2L 3345744",64890849,"X0.77"
"592","2L 3346112",64891217,"X0.77"
"593","2L 3346146",64891251,"X0.77"
"594","2L 3346189",64891294,"X0.77"
"595","2L 3347273",64892378,"X0.77"
"596","2L 3347276",64892381,"X0.77"
"597","2L 3347328",64892433,"X0.77"
"598","2L 3347364",64892469,"X0.77"
"599","2L 3348139",64893244,"X0.77"
"600","2L 3351906",64897011,"X0.77"
"601","2L 3352314",64897419,"X0.77"
"602","2L 3352527",64897632,"X0.77"
"603","2L 3352969",64898074,"X0.77"
"604","2L 3354490",64899595,"X0.77"
"605","2L 3374671",64919776,"X0.77"
"606","2L 3374965",64920070,"X0.77"
"607","2L 3375664",64920769,"X0.77"
"608","2L 3376447",64921552,"X0.77"
"609","2L 3377086",64922191,"X0.77"
"610","2L 33771446",95316551,"X0.384"
"611","2L 3377250",64922355,"X0.77"
"612","2L 33775519",95320624,"X0.77"
"613","2L 3378299",64923404,"X0.77"
"614","2L 3378505",64923610,"X0.77"
"615","2L 3378821",64923926,"X0.77"
"616","2L 3379126",64924231,"X0.77"
"617","2L 3379128",64924233,"X0.77"
"618","2L 3379227",64924332,"X0.77"
"619","2L 3379248",64924353,"X0.77"
"620","2L 3379301",64924406,"X0.77"
"621","2L 3379766",64924871,"X0.77"
"622","2L 33804240",95349345,"X0.77"
"623","2L 33809510",95354615,"X0.77"
"624","2L 3381664",64926769,"X0.77"
"625","2L 33827181",95372286,"X0.77"
"626","2L 3384840",64929945,"X0.77"
"627","2L 3385128",64930233,"X0.77"
"628","2L 3385550",64930655,"X0.77"
"629","2L 3385685",64930790,"X0.77"
"630","2L 33857254",95402359,"X0.77"
"631","2L 3386462",64931567,"X0.77"
"632","2L 3387058",64932163,"X0.77"
"633","2L 33871555",95416660,"X0.77"
"634","2L 33871784",95416889,"X0.77"
"635","2L 33879816",95424921,"X0.77"
"636","2L 3388235",64933340,"X0.77"
"637","2L 33884598",95429703,"X0.77"
"638","2L 33886158",95431263,"X0.77"
"639","2L 33890697",95435802,"X0.77"
"640","2L 33891575",95436680,"X0.77"
"641","2L 33891704",95436809,"X0.77"
"642","2L 3390719",64935824,"X0.77"
"643","2L 33907485",95452590,"X0.77"
"644","2L 33907952",95453057,"X0.77"
"645","2L 33908546",95453651,"X0.77"
"646","2L 33908547",95453652,"X0.77"
"647","2L 33910080",95455185,"X0.77"
"648","2L 33910402",95455507,"X0.77"
"649","2L 33910564",95455669,"X0.77"
"650","2L 33910628",95455733,"X0.77"
"651","2L 3391214",64936319,"X0.77"
"652","2L 33912177",95457282,"X0.77"
"653","2L 33912181",95457286,"X0.77"
"654","2L 33913114",95458219,"X0.77"
"655","2L 33914929",95460034,"X0.77"
"656","2L 33917827",95462932,"X0.77"
"657","2L 33918862",95463967,"X0.77"
"658","2L 33919156",95464261,"X0.77"
"659","2L 33919482",95464587,"X0.77"
"660","2L 33920182",95465287,"X0.77"
"661","2L 33920335",95465440,"X0.77"
"662","2L 33920365",95465470,"X0.77"
"663","2L 33920545",95465650,"X0.77"
"664","2L 33922626",95467731,"X0.77"
"665","2L 3392477",64937582,"X0.77"
