"","id","order","outlier.pop"
"107","2L 3264973",64810078,"X0.77"
"108","2L 3346146",64891251,"X0.77"
"109","2L 3354244",64899349,"X0.77"
"110","2L 3377332",64922437,"X0.77"
"111","2L 3379751",64924856,"X0.77"
"112","2L 3380814",64925919,"X5.747"
"113","2L 3385695",64930800,"X4.777"
"114","2L 3386396",64931501,"X4.777"
"115","2L 3387986",64933091,"X4.777"
"116","2L 3390476",64935581,"X5.747"
"117","2L 3390682",64935787,"X5.747"
"118","2L 3394231",64939336,"X4.777"
"119","2L 3394737",64939842,"X5.747"
"120","2L 33977237",95522342,"X4.777"
"121","2L 3399245",64944350,"X5.747"
"122","2L 3400838",64945943,"X5.747"
"123","2L 3400887",64945992,"X4.777"
"124","2L 3400973",64946078,"X5.747"
"125","2L 3401257",64946362,"X5.747"
"126","2L 3401273",64946378,"X5.747"
"127","2L 3402619",64947724,"X5.747"
"128","2L 3404201",64949306,"X5.747"
"129","2L 3409053",64954158,"X5.747"
"130","2L 3409231",64954336,"X5.747"
"131","2L 3409588",64954693,"X5.747"
"132","2L 3411400",64956505,"X5.747"
"133","2L 3414081",64959186,"X5.747"
"134","2L 3414141",64959246,"X5.747"
"135","2L 3414183",64959288,"X5.747"
"136","2L 3414250",64959355,"X5.747"
"137","2L 3415259",64960364,"X5.747"
"138","2L 3418136",64963241,"X5.747"
"139","2L 3418154",64963259,"X5.747"
"140","2L 3418211",64963316,"X5.747"
"141","2L 3420965",64966070,"X5.747"
"142","2L 3421047",64966152,"X0.77"
"143","2L 3421181",64966286,"X4.777"
"144","2L 3421865",64966970,"X4.777"
"145","2L 3421878",64966983,"X4.777"
"146","2L 3431807",64976912,"X5.747"
"147","2L 3436941",64982046,"X5.747"
"148","2L 3477690",65022795,"X0.77"
"149","2L 3516206",65061311,"X0.77"
"150","2L 3535954",65081059,"X5.747"
"151","2L 3563867",65108972,"X4.777"
"152","2L 3622040",65167145,"X5.747"
"153","2L 3641533",65186638,"X0.77"
"154","2L 3674033",65219138,"X0.77"
"155","2L 3680946",65226051,"X0.77"
"156","2L 3740673",65285778,"X0.77"
"157","2L 3791389",65336494,"X0.77"
"158","2L 3792910",65338015,"X0.77"
"159","2L 3793268",65338373,"X4.777"
"160","2L 3794392",65339497,"X4.777"
"161","2L 3879235",65424340,"X4.777"
"162","2L 3892768",65437873,"X4.777"
"163","2L 3892898",65438003,"X0.77"
"164","2L 3897085",65442190,"X0.77"
"165","2L 3904726",65449831,"X0.77"
"166","2L 3920716",65465821,"X0.77"
"167","2L 4565667",66110772,"X0.77"
"168","2L 4793046",66338151,"X0.77"
"169","2L 4793501",66338606,"X0.77"
"170","2L 4818149",66363254,"X0.77"
"171","2L 4818211",66363316,"X0.77"
"172","2L 4859854",66404959,"X0.77"
"173","2L 4957102",66502207,"X0.77"
"174","2L 4957598",66502703,"X0.77"
"175","2L 4957618",66502723,"X0.77"
"176","2L 5733441",67278546,"X0.77"
"177","2L 6366566",67911671,"X0.77"
"178","2L 6685503",68230608,"X0.77"
"179","2L 6847602",68392707,"X0.77"
"180","2L 970842",62515947,"X0.77"
"181","2R 24828256",24828256,"X5.747"
"182","2R 27366627",27366627,"X4.341"
"183","2R 27576085",27576085,"X0.77"
"184","2R 27576186",27576186,"X0.77"
"185","2R 27576195",27576195,"X5.747"
"186","2R 27576952",27576952,"X4.341"
"187","2R 27576998",27576998,"X4.341"
"188","2R 27578906",27578906,"X4.341"
"189","2R 27600786",27600786,"X4.341"
"190","2R 27644384",27644384,"X4.341"
"191","2R 27644424",27644424,"X5.747"
"192","2R 27666166",27666166,"X5.747"
"193","2R 27786834",27786834,"X5.747"
"194","2R 27807190",27807190,"X5.747"
"195","2R 27846470",27846470,"X5.747"
"196","2R 27847430",27847430,"X5.747"
"197","2R 27852444",27852444,"X5.747"
"198","2R 27898684",27898684,"X5.747"
"199","2R 27900392",27900392,"X4.341"
"200","2R 27903126",27903126,"X5.747"
"201","2R 27905170",27905170,"X5.747"
"202","2R 27905610",27905610,"X0.77"
"203","2R 27906026",27906026,"X0.77"
"204","2R 27914121",27914121,"X0.77"
"205","2R 27919627",27919627,"X0.77"
"206","2R 27923896",27923896,"X0.77"
"207","2R 27926157",27926157,"X0.77"
"208","2R 27928865",27928865,"X5.747"
"209","2R 27929621",27929621,"X5.747"
"210","2R 27935308",27935308,"X5.747"
"211","2R 27935442",27935442,"X5.747"
"212","2R 27935815",27935815,"X5.747"
"213","2R 27944427",27944427,"X5.747"
"214","2R 27951158",27951158,"X5.747"
"215","2R 27960159",27960159,"X5.747"
"216","2R 27963324",27963324,"X5.747"
"217","2R 27964630",27964630,"X5.747"
"218","2R 27979299",27979299,"X5.747"
"219","2R 27980007",27980007,"X5.747"
"220","2R 27989156",27989156,"X5.747"
"221","2R 27990874",27990874,"X5.747"
"222","2R 27995429",27995429,"X4.341"
"223","2R 27998676",27998676,"X4.341"
"224","2R 28012644",28012644,"X5.747"
"225","2R 28012787",28012787,"X4.341"
"226","2R 28013799",28013799,"X4.341"
"227","2R 28013857",28013857,"X5.747"
"228","2R 28014469",28014469,"X5.747"
"229","2R 28019356",28019356,"X4.341"
"230","2R 28019525",28019525,"X5.747"
"231","2R 28020067",28020067,"X4.341"
"232","2R 28020807",28020807,"X4.341"
"233","2R 28020860",28020860,"X4.777"
"234","2R 28021994",28021994,"X4.341"
"235","2R 28023840",28023840,"X4.341"
"236","2R 28024468",28024468,"X4.341"
"237","2R 28025043",28025043,"X4.341"
"238","2R 28025575",28025575,"X5.747"
"239","2R 28028019",28028019,"X5.747"
"240","2R 28032640",28032640,"X5.747"
"241","2R 28034288",28034288,"X5.747"
"242","2R 28034472",28034472,"X4.341"
"243","2R 28034685",28034685,"X4.341"
"244","2R 28036873",28036873,"X4.777"
"245","2R 28039993",28039993,"X4.341"
"246","2R 28040638",28040638,"X4.341"
"247","2R 28042173",28042173,"X4.341"
"248","2R 28042940",28042940,"X4.341"
"249","2R 28044380",28044380,"X4.341"
"250","2R 28046437",28046437,"X4.341"
"251","2R 28051096",28051096,"X4.341"
"252","2R 28061294",28061294,"X4.341"
"253","2R 28061370",28061370,"X4.341"
"254","2R 28064307",28064307,"X4.341"
"255","2R 28069638",28069638,"X5.747"
"256","2R 28071249",28071249,"X4.341"
"257","2R 28076715",28076715,"X4.341"
"258","2R 28077795",28077795,"X5.747"
"259","2R 28078169",28078169,"X4.341"
"260","2R 28085402",28085402,"X4.341"
"261","2R 28085679",28085679,"X4.341"
"262","2R 28086322",28086322,"X4.341"
"263","2R 28086784",28086784,"X4.341"
"264","2R 28087446",28087446,"X4.341"
"265","2R 28090696",28090696,"X4.341"
"266","2R 28092195",28092195,"X4.341"
"267","2R 28094800",28094800,"X4.341"
"268","2R 28098500",28098500,"X4.341"
"269","2R 28102246",28102246,"X4.341"
"270","2R 28102551",28102551,"X5.747"
"271","2R 28104724",28104724,"X4.341"
"272","2R 28112316",28112316,"X5.747"
"273","2R 28112321",28112321,"X4.341"
"274","2R 28115577",28115577,"X5.747"
"275","2R 28122347",28122347,"X5.747"
"276","2R 28122594",28122594,"X5.747"
"277","2R 28124085",28124085,"X5.747"
"278","2R 28124150",28124150,"X4.341"
"279","2R 28126856",28126856,"X4.341"
"280","2R 28127243",28127243,"X4.341"
"281","2R 28143539",28143539,"X5.747"
"282","2R 28143839",28143839,"X4.341"
"283","2R 28143887",28143887,"X5.747"
"284","2R 28144095",28144095,"X4.341"
"285","2R 28146709",28146709,"X4.341"
"286","2R 28147025",28147025,"X4.341"
"287","2R 28154927",28154927,"X5.747"
"288","2R 28155129",28155129,"X4.341"
"289","2R 28155260",28155260,"X4.341"
"290","2R 28156587",28156587,"X5.747"
"291","2R 28157657",28157657,"X4.341"
"292","2R 28159044",28159044,"X5.747"
"293","2R 28159985",28159985,"X5.747"
"294","2R 28159995",28159995,"X5.747"
"295","2R 28160008",28160008,"X5.747"
"296","2R 28160035",28160035,"X5.747"
"297","2R 28160458",28160458,"X5.747"
"298","2R 28160517",28160517,"X5.747"
"299","2R 28161591",28161591,"X4.341"
"300","2R 28163617",28163617,"X4.341"
"301","2R 28165551",28165551,"X5.747"
"302","2R 28165552",28165552,"X5.747"
"303","2R 28166956",28166956,"X5.747"
"304","2R 28172421",28172421,"X5.747"
"305","2R 28173935",28173935,"X5.747"
"306","2R 28174987",28174987,"X11.891"
"307","2R 28175561",28175561,"X4.341"
"308","2R 28179050",28179050,"X4.341"
"309","2R 28185421",28185421,"X4.341"
"310","2R 28188573",28188573,"X4.341"
"311","2R 28190133",28190133,"X4.341"
"312","2R 28194378",28194378,"X0.77"
"313","2R 28199457",28199457,"X4.341"
"314","2R 28200783",28200783,"X4.341"
"315","2R 28204100",28204100,"X4.341"
"316","2R 28204575",28204575,"X4.341"
"317","2R 28204622",28204622,"X4.341"
"318","2R 28208434",28208434,"X0.77"
"319","2R 28208510",28208510,"X4.341"
"320","2R 28214039",28214039,"X4.341"
"321","2R 28216169",28216169,"X5.747"
"322","2R 28216446",28216446,"X4.341"
"323","2R 28216758",28216758,"X0.77"
"324","2R 28216859",28216859,"X4.341"
"325","2R 28217223",28217223,"X4.341"
"326","2R 28217627",28217627,"X4.341"
"327","2R 28218883",28218883,"X4.341"
"328","2R 28222735",28222735,"X4.341"
"329","2R 28222764",28222764,"X4.341"
"330","2R 28222768",28222768,"X0.77"
"331","2R 28224818",28224818,"X5.747"
"332","2R 28224946",28224946,"X4.341"
"333","2R 28225770",28225770,"X5.747"
"334","2R 28228280",28228280,"X4.341"
"335","2R 28229184",28229184,"X4.341"
"336","2R 28229983",28229983,"X0.77"
"337","2R 28234111",28234111,"X4.341"
"338","2R 28235756",28235756,"X4.341"
"339","2R 28237031",28237031,"X4.341"
"340","2R 28237127",28237127,"X4.341"
"341","2R 28239287",28239287,"X4.341"
"342","2R 28239964",28239964,"X4.341"
"343","2R 28241768",28241768,"X4.341"
"344","2R 28243364",28243364,"X4.341"
"345","2R 28243492",28243492,"X0.77"
"346","2R 28244219",28244219,"X0.77"
"347","2R 28244415",28244415,"X4.341"
"348","2R 28244542",28244542,"X4.341"
"349","2R 28246949",28246949,"X4.341"
"350","2R 28247973",28247973,"X0.77"
"351","2R 28247985",28247985,"X0.77"
"352","2R 28248099",28248099,"X0.77"
"353","2R 28248900",28248900,"X4.341"
"354","2R 28249188",28249188,"X4.341"
"355","2R 28250309",28250309,"X4.341"
"356","2R 28250583",28250583,"X0.77"
"357","2R 28250834",28250834,"X4.341"
"358","2R 28251944",28251944,"X4.341"
"359","2R 28252274",28252274,"X4.341"
"360","2R 28252817",28252817,"X4.341"
"361","2R 28252994",28252994,"X5.747"
"362","2R 28253002",28253002,"X0.77"
"363","2R 28253383",28253383,"X4.341"
"364","2R 28255722",28255722,"X4.341"
"365","2R 28255839",28255839,"X4.341"
"366","2R 28257842",28257842,"X4.341"
"367","2R 28258433",28258433,"X0.77"
"368","2R 28259608",28259608,"X4.341"
"369","2R 28262552",28262552,"X4.341"
"370","2R 28263778",28263778,"X4.341"
"371","2R 28267232",28267232,"X4.341"
"372","2R 28289884",28289884,"X4.341"
"373","2R 28289896",28289896,"X4.341"
"374","2R 28289897",28289897,"X0.77"
"375","2R 28290338",28290338,"X0.77"
"376","2R 28290584",28290584,"X0.77"
"377","2R 28294181",28294181,"X0.77"
"378","2R 28294646",28294646,"X0.77"
"379","2R 28295585",28295585,"X0.77"
"380","2R 28297736",28297736,"X4.341"
"381","2R 28316205",28316205,"X4.341"
"382","2R 28316212",28316212,"X4.341"
"383","2R 28318711",28318711,"X5.747"
"384","2R 28318831",28318831,"X4.341"
"385","2R 28318877",28318877,"X4.341"
"386","2R 28324217",28324217,"X4.341"
"387","2R 28324658",28324658,"X4.341"
"388","2R 28325313",28325313,"X4.341"
"389","2R 28327761",28327761,"X4.341"
"390","2R 28329914",28329914,"X4.341"
"391","2R 28330214",28330214,"X4.341"
"392","2R 28330424",28330424,"X4.341"
"393","2R 28332185",28332185,"X4.341"
"394","2R 28332293",28332293,"X4.341"
"395","2R 28332837",28332837,"X4.341"
"396","2R 28334910",28334910,"X4.341"
"397","2R 28335268",28335268,"X4.341"
"398","2R 28335470",28335470,"X4.341"
"399","2R 28335919",28335919,"X4.341"
"400","2R 28337763",28337763,"X4.341"
"401","2R 28338448",28338448,"X4.341"
"402","2R 28343650",28343650,"X4.341"
"403","2R 28343652",28343652,"X4.341"
"404","2R 28344504",28344504,"X4.341"
"405","2R 28350571",28350571,"X4.341"
"406","2R 28350804",28350804,"X4.341"
"407","2R 28350925",28350925,"X4.341"
"408","2R 28351366",28351366,"X4.341"
"409","2R 28351801",28351801,"X4.341"
"410","2R 28352545",28352545,"X4.341"
"411","2R 28353344",28353344,"X4.341"
"412","2R 28353951",28353951,"X4.341"
"413","2R 28354111",28354111,"X4.777"
"414","2R 28357692",28357692,"X0.77"
"415","2R 28358428",28358428,"X0.77"
"416","2R 28359791",28359791,"X4.341"
"417","2R 28360466",28360466,"X4.341"
"418","2R 28360877",28360877,"X4.341"
"419","2R 28362945",28362945,"X4.777"
"420","2R 28363833",28363833,"X4.341"
"421","2R 28364297",28364297,"X4.341"
"422","2R 28364306",28364306,"X4.777"
"423","2R 28364338",28364338,"X4.777"
"424","2R 28365559",28365559,"X4.777"
"425","2R 28365585",28365585,"X4.341"
"426","2R 28365586",28365586,"X4.777"
"427","2R 28365742",28365742,"X4.341"
"428","2R 28366598",28366598,"X4.341"
"429","2R 28367739",28367739,"X4.341"
"430","2R 28368807",28368807,"X4.777"
"431","2R 28370157",28370157,"X4.777"
"432","2R 28370682",28370682,"X0.77"
"433","2R 28370793",28370793,"X4.341"
"434","2R 28371021",28371021,"X4.777"
"435","2R 28371840",28371840,"X4.777"
"436","2R 28372518",28372518,"X4.777"
"437","2R 28373343",28373343,"X4.777"
"438","2R 28373408",28373408,"X4.777"
"439","2R 28373993",28373993,"X4.777"
"440","2R 28374232",28374232,"X4.777"
"441","2R 28375002",28375002,"X0.77"
"442","2R 28375494",28375494,"X4.777"
"443","2R 28376947",28376947,"X4.777"
"444","2R 28378271",28378271,"X4.777"
"445","2R 28378733",28378733,"X4.777"
"446","2R 28383029",28383029,"X4.777"
"447","2R 28383102",28383102,"X4.777"
"448","2R 28383820",28383820,"X4.777"
"449","2R 28384242",28384242,"X4.341"
"450","2R 28384264",28384264,"X4.777"
"451","2R 28388235",28388235,"X4.341"
"452","2R 28388390",28388390,"X4.341"
"453","2R 28388872",28388872,"X4.341"
"454","2R 28392613",28392613,"X4.341"
"455","2R 28394815",28394815,"X4.341"
"456","2R 28395515",28395515,"X4.341"
"457","2R 28396800",28396800,"X4.777"
"458","2R 28397567",28397567,"X4.341"
"459","2R 28398175",28398175,"X4.341"
"460","2R 28398210",28398210,"X4.777"
"461","2R 28398824",28398824,"X4.777"
"462","2R 28399861",28399861,"X11.891"
"463","2R 28402671",28402671,"X4.341"
"464","2R 28402682",28402682,"X4.777"
"465","2R 28402979",28402979,"X4.777"
"466","2R 28405291",28405291,"X4.777"
"467","2R 28405897",28405897,"X4.777"
"468","2R 28406782",28406782,"X4.777"
"469","2R 28408717",28408717,"X4.777"
"470","2R 28410313",28410313,"X4.341"
"471","2R 28410314",28410314,"X4.341"
"472","2R 28410939",28410939,"X4.777"
"473","2R 28410967",28410967,"X4.777"
"474","2R 28412075",28412075,"X4.777"
"475","2R 28412145",28412145,"X4.777"
"476","2R 28414373",28414373,"X4.777"
"477","2R 28414457",28414457,"X4.777"
"478","2R 28414591",28414591,"X4.777"
"479","2R 28417278",28417278,"X4.341"
"480","2R 28417701",28417701,"X4.777"
"481","2R 28418782",28418782,"X4.341"
"482","2R 28420156",28420156,"X4.777"
"483","2R 28420998",28420998,"X4.341"
"484","2R 28421010",28421010,"X4.341"
"485","2R 28421053",28421053,"X4.777"
"486","2R 28422100",28422100,"X4.777"
"487","2R 28425654",28425654,"X4.341"
"488","2R 28426813",28426813,"X4.341"
"489","2R 28430066",28430066,"X4.341"
"490","2R 28435647",28435647,"X4.777"
"491","2R 28435903",28435903,"X4.777"
"492","2R 28436308",28436308,"X4.777"
"493","2R 28436367",28436367,"X4.777"
"494","2R 28436561",28436561,"X4.777"
"495","2R 28437815",28437815,"X4.777"
"496","2R 28440534",28440534,"X4.341"
"497","2R 28443647",28443647,"X4.777"
"498","2R 28443791",28443791,"X4.777"
"499","2R 28444245",28444245,"X4.777"
"500","2R 28445856",28445856,"X4.777"
"501","2R 28445899",28445899,"X4.777"
"502","2R 28445911",28445911,"X4.777"
"503","2R 28446084",28446084,"X4.341"
"504","2R 28446107",28446107,"X4.341"
"505","2R 28446670",28446670,"X4.777"
"506","2R 28447926",28447926,"X4.341"
"507","2R 28448197",28448197,"X4.777"
"508","2R 28448958",28448958,"X4.341"
"509","2R 28450159",28450159,"X0.77"
"510","2R 28450414",28450414,"X4.777"
"511","2R 28450483",28450483,"X4.777"
"512","2R 28450635",28450635,"X4.777"
"513","2R 28450641",28450641,"X4.777"
"514","2R 28454138",28454138,"X4.341"
"515","2R 28454376",28454376,"X4.777"
"516","2R 28455907",28455907,"X4.341"
"517","2R 28455909",28455909,"X4.777"
"518","2R 28456706",28456706,"X4.777"
"519","2R 28456775",28456775,"X4.777"
"520","2R 28459502",28459502,"X4.777"
"521","2R 28459705",28459705,"X4.777"
"522","2R 28461219",28461219,"X4.341"
"523","2R 28461351",28461351,"X4.341"
"524","2R 28461517",28461517,"X4.341"
"525","2R 28463261",28463261,"X4.341"
"526","2R 28463509",28463509,"X4.341"
"527","2R 28464438",28464438,"X4.341"
"528","2R 28465232",28465232,"X4.341"
"529","2R 28466599",28466599,"X4.341"
"530","2R 28466855",28466855,"X4.341"
"531","2R 28469064",28469064,"X4.341"
"532","2R 28471635",28471635,"X4.341"
"533","2R 28472841",28472841,"X4.341"
"534","2R 28474274",28474274,"X4.341"
"535","2R 28474900",28474900,"X4.341"
"536","2R 28476075",28476075,"X4.341"
"537","2R 28477180",28477180,"X4.341"
"538","2R 28477258",28477258,"X4.341"
"539","2R 28477340",28477340,"X4.341"
"540","2R 28499527",28499527,"X4.341"
"541","2R 28507866",28507866,"X4.341"
"542","2R 28508699",28508699,"X4.341"
"543","2R 28520770",28520770,"X4.341"
"544","2R 28523616",28523616,"X4.777"
"545","2R 28525296",28525296,"X4.341"
"546","2R 28525394",28525394,"X4.777"
"547","2R 28526335",28526335,"X4.341"
"548","2R 28527556",28527556,"X4.341"
"549","2R 28528874",28528874,"X4.341"
"550","2R 28529120",28529120,"X4.777"
"551","2R 28530775",28530775,"X4.341"
"552","2R 28531043",28531043,"X4.341"
"553","2R 28535449",28535449,"X4.341"
"554","2R 28536578",28536578,"X4.341"
"555","2R 28537152",28537152,"X4.341"
"556","2R 28537481",28537481,"X4.341"
"557","2R 28541029",28541029,"X4.777"
"558","2R 28543282",28543282,"X4.341"
"559","2R 28543546",28543546,"X4.341"
"560","2R 28543939",28543939,"X4.777"
"561","2R 28544190",28544190,"X4.777"
"562","2R 28544467",28544467,"X4.341"
"563","2R 28544644",28544644,"X4.777"
"564","2R 28544653",28544653,"X4.777"
"565","2R 28545375",28545375,"X4.777"
"566","2R 28547604",28547604,"X4.777"
"567","2R 28547606",28547606,"X4.341"
"568","2R 28547769",28547769,"X4.341"
"569","2R 28549494",28549494,"X4.777"
"570","2R 28552270",28552270,"X4.777"
"571","2R 28553519",28553519,"X4.777"
"572","2R 28553687",28553687,"X4.341"
"573","2R 28556413",28556413,"X4.777"
"574","2R 28563896",28563896,"X4.777"
"575","2R 28564221",28564221,"X4.777"
"576","2R 28565813",28565813,"X4.777"
"577","2R 28572661",28572661,"X4.777"
"578","2R 28582895",28582895,"X4.341"
"579","2R 28582896",28582896,"X4.341"
"580","2R 28582982",28582982,"X4.341"
"581","2R 28583285",28583285,"X4.341"
"582","2R 28586812",28586812,"X4.341"
"583","2R 28601430",28601430,"X0.77"
"584","2R 28602028",28602028,"X4.341"
"585","2R 28603586",28603586,"X4.341"
"586","2R 28604239",28604239,"X4.341"
"587","2R 28606675",28606675,"X4.341"
"588","2R 28607086",28607086,"X0.77"
"589","2R 28608165",28608165,"X0.77"
"590","2R 28608543",28608543,"X4.341"
"591","2R 28609431",28609431,"X4.341"
"592","2R 28609731",28609731,"X4.341"
"593","2R 28610525",28610525,"X4.341"
"594","2R 28611609",28611609,"X4.341"
"595","2R 28613337",28613337,"X4.341"
"596","2R 28615098",28615098,"X4.341"
"597","2R 28617460",28617460,"X4.341"
"598","2R 28617545",28617545,"X4.341"
"599","2R 28619642",28619642,"X4.341"
"600","2R 28620730",28620730,"X4.341"
"601","2R 28621061",28621061,"X4.341"
"602","2R 28621310",28621310,"X4.341"
"603","2R 28621567",28621567,"X4.341"
"604","2R 28622158",28622158,"X4.341"
"605","2R 28622834",28622834,"X4.341"
"606","2R 28624050",28624050,"X4.341"
"607","2R 28624606",28624606,"X4.341"
"608","2R 28625917",28625917,"X4.341"
"609","2R 28626494",28626494,"X4.341"
"610","2R 28627165",28627165,"X4.341"
"611","2R 28627862",28627862,"X4.341"
"612","2R 28627961",28627961,"X4.341"
"613","2R 28628041",28628041,"X4.341"
"614","2R 28628133",28628133,"X4.341"
"615","2R 28629914",28629914,"X4.341"
"616","2R 28629922",28629922,"X4.341"
"617","2R 28629989",28629989,"X4.341"
"618","2R 28630000",28630000,"X4.341"
"619","2R 28631521",28631521,"X4.341"
"620","2R 28635320",28635320,"X4.341"
"621","2R 28637108",28637108,"X4.341"
"622","2R 28637487",28637487,"X4.777"
"623","2R 28638239",28638239,"X4.341"
"624","2R 28639469",28639469,"X4.777"
"625","2R 28640925",28640925,"X4.341"
"626","2R 28641871",28641871,"X4.341"
"627","2R 28642177",28642177,"X4.777"
"628","2R 28642538",28642538,"X4.777"
"629","2R 28643300",28643300,"X4.777"
"630","2R 28643395",28643395,"X4.777"
"631","2R 28643478",28643478,"X0.77"
"632","2R 28646990",28646990,"X4.777"
"633","2R 28647230",28647230,"X4.777"
"634","2R 28647232",28647232,"X4.777"
"635","2R 28649998",28649998,"X4.341"
"636","2R 28650576",28650576,"X4.341"
"637","2R 28656286",28656286,"X4.341"
"638","2R 28657053",28657053,"X4.777"
"639","2R 28658275",28658275,"X4.341"
"640","2R 28660275",28660275,"X4.777"
"641","2R 28660295",28660295,"X4.777"
"642","2R 28662905",28662905,"X4.341"
"643","2R 28663252",28663252,"X4.341"
"644","2R 28663259",28663259,"X4.341"
"645","2R 28664029",28664029,"X0.77"
"646","2R 28664367",28664367,"X4.777"
"647","2R 28667105",28667105,"X4.777"
"648","2R 28669105",28669105,"X4.341"
"649","2R 28669686",28669686,"X4.777"
"650","2R 28671096",28671096,"X4.777"
"651","2R 28674485",28674485,"X4.777"
"652","2R 28680222",28680222,"X4.341"
"653","2R 28680448",28680448,"X4.341"
"654","2R 28680908",28680908,"X4.341"
"655","2R 28680995",28680995,"X4.777"
"656","2R 28681780",28681780,"X4.341"
"657","2R 28682187",28682187,"X4.777"
"658","2R 28682723",28682723,"X4.777"
"659","2R 28682952",28682952,"X4.777"
"660","2R 28683022",28683022,"X0.77"
"661","2R 28689338",28689338,"X4.777"
"662","2R 28689471",28689471,"X4.341"
"663","2R 28689894",28689894,"X4.777"
"664","2R 28690893",28690893,"X4.777"
"665","2R 28692178",28692178,"X4.341"
